  data         time
434     15:04:43
434     15:04:43
441     15:04:43
436     15:04:43
435     15:04:43
435     15:04:43
436     15:04:43
436     15:04:43
435     15:04:43
433     15:04:43
435     15:04:43
437     15:04:43
433     15:04:43
434     15:04:43
434     15:04:43
436     15:04:43
434     15:04:43
431     15:04:43
432     15:04:43
431     15:04:43
428     15:04:43
427     15:04:43
428     15:04:43
430     15:04:43
428     15:04:43
427     15:04:43
430     15:04:43
431     15:04:43
433     15:04:43
431     15:04:43
434     15:04:43
435     15:04:43
431     15:04:43
432     15:04:43
432     15:04:43
432     15:04:43
430     15:04:43
428     15:04:43
429     15:04:43
428     15:04:43
427     15:04:43
428     15:04:43
431     15:04:43
432     15:04:43
431     15:04:43
432     15:04:43
434     15:04:43
435     15:04:43
434     15:04:43
431     15:04:43
432     15:04:43
434     15:04:43
428     15:04:43
427     15:04:43
431     15:04:43
428     15:04:43
427     15:04:43
425     15:04:43
425     15:04:43
425     15:04:43
426     15:04:43
426     15:04:43
426     15:04:43
427     15:04:43
426     15:04:43
425     15:04:43
426     15:04:44
426     15:04:44
428     15:04:44
426     15:04:44
429     15:04:44
430     15:04:44
428     15:04:44
427     15:04:44
433     15:04:44
435     15:04:44
435     15:04:44
434     15:04:44
435     15:04:44
437     15:04:44
435     15:04:44
435     15:04:44
436     15:04:44
437     15:04:44
435     15:04:44
434     15:04:44
437     15:04:44
436     15:04:44
436     15:04:44
433     15:04:44
437     15:04:44
436     15:04:44
436     15:04:44
434     15:04:44
434     15:04:44
437     15:04:44
436     15:04:44
435     15:04:44
435     15:04:44
435     15:04:44
436     15:04:44
434     15:04:44
436     15:04:44
436     15:04:44
435     15:04:44
434     15:04:44
435     15:04:44
437     15:04:44
436     15:04:44
434     15:04:44
434     15:04:44
436     15:04:44
436     15:04:44
434     15:04:44
435     15:04:44
434     15:04:44
435     15:04:44
433     15:04:44
434     15:04:44
435     15:04:44
435     15:04:44
434     15:04:44
435     15:04:44
436     15:04:44
436     15:04:44
434     15:04:44
435     15:04:44
438     15:04:44
434     15:04:44
434     15:04:44
432     15:04:44
437     15:04:44
435     15:04:44
434     15:04:44
433     15:04:44
435     15:04:44
437     15:04:44
434     15:04:44
434     15:04:44
436     15:04:44
435     15:04:44
435     15:04:44
434     15:04:44
436     15:04:44
441     15:04:44
435     15:04:44
433     15:04:44
435     15:04:44
436     15:04:44
434     15:04:44
434     15:04:44
436     15:04:44
435     15:04:44
436     15:04:44
435     15:04:44
435     15:04:44
436     15:04:44
435     15:04:44
433     15:04:44
436     15:04:44
435     15:04:44
434     15:04:44
434     15:04:44
435     15:04:44
436     15:04:44
431     15:04:44
432     15:04:45
434     15:04:45
432     15:04:45
430     15:04:45
426     15:04:45
429     15:04:45
427     15:04:45
424     15:04:45
425     15:04:45
427     15:04:45
432     15:04:45
428     15:04:45
429     15:04:45
432     15:04:45
433     15:04:45
433     15:04:45
434     15:04:45
437     15:04:45
436     15:04:45
434     15:04:45
435     15:04:45
442     15:04:45
436     15:04:45
435     15:04:45
433     15:04:45
435     15:04:45
437     15:04:45
430     15:04:45
430     15:04:45
430     15:04:45
428     15:04:45
425     15:04:45
424     15:04:45
428     15:04:45
431     15:04:45
429     15:04:45
429     15:04:45
428     15:04:45
433     15:04:45
432     15:04:45
432     15:04:45
435     15:04:45
437     15:04:45
440     15:04:45
436     15:04:45
436     15:04:45
437     15:04:45
433     15:04:45
434     15:04:45
436     15:04:45
435     15:04:45
435     15:04:45
435     15:04:45
434     15:04:45
436     15:04:45
434     15:04:45
432     15:04:45
435     15:04:45
436     15:04:45
433     15:04:45
434     15:04:45
436     15:04:45
436     15:04:45
435     15:04:45
435     15:04:45
436     15:04:45
436     15:04:45
428     15:04:45
434     15:04:45
437     15:04:45
436     15:04:45
435     15:04:45
434     15:04:45
431     15:04:45
435     15:04:45
435     15:04:45
434     15:04:45
437     15:04:45
436     15:04:45
435     15:04:45
433     15:04:45
435     15:04:45
435     15:04:45
435     15:04:45
433     15:04:45
435     15:04:45
437     15:04:45
433     15:04:45
433     15:04:45
430     15:04:45
434     15:04:45
433     15:04:45
434     15:04:45
434     15:04:45
435     15:04:45
436     15:04:45
435     15:04:45
435     15:04:45
437     15:04:45
436     15:04:46
434     15:04:46
433     15:04:46
436     15:04:46
435     15:04:46
432     15:04:46
433     15:04:46
433     15:04:46
430     15:04:46
429     15:04:46
428     15:04:46
428     15:04:46
429     15:04:46
425     15:04:46
426     15:04:46
426     15:04:46
425     15:04:46
422     15:04:46
426     15:04:46
427     15:04:46
417     15:04:46
427     15:04:46
428     15:04:46
432     15:04:46
430     15:04:46
431     15:04:46
436     15:04:46
435     15:04:46
431     15:04:46
435     15:04:46
436     15:04:46
437     15:04:46
436     15:04:46
437     15:04:46
435     15:04:46
436     15:04:46
434     15:04:46
434     15:04:46
432     15:04:46
432     15:04:46
430     15:04:46
428     15:04:46
427     15:04:46
428     15:04:46
426     15:04:46
430     15:04:46
428     15:04:46
429     15:04:46
430     15:04:46
430     15:04:46
433     15:04:46
434     15:04:46
434     15:04:46
433     15:04:46
433     15:04:46
433     15:04:46
431     15:04:46
429     15:04:46
427     15:04:46
428     15:04:46
428     15:04:46
426     15:04:46
430     15:04:46
429     15:04:46
429     15:04:46
431     15:04:46
434     15:04:46
435     15:04:46
435     15:04:46
434     15:04:46
435     15:04:46
436     15:04:46
438     15:04:46
435     15:04:46
435     15:04:46
439     15:04:46
436     15:04:46
434     15:04:46
434     15:04:46
435     15:04:46
434     15:04:46
434     15:04:46
434     15:04:46
437     15:04:46
436     15:04:46
435     15:04:46
434     15:04:46
436     15:04:46
436     15:04:46
434     15:04:46
435     15:04:46
435     15:04:46
432     15:04:46
432     15:04:46
431     15:04:46
433     15:04:46
433     15:04:46
433     15:04:46
431     15:04:46
433     15:04:46
432     15:04:47
430     15:04:47
429     15:04:47
433     15:04:47
431     15:04:47
432     15:04:47
433     15:04:47
434     15:04:47
432     15:04:47
432     15:04:47
432     15:04:47
431     15:04:47
429     15:04:47
427     15:04:47
426     15:04:47
427     15:04:47
427     15:04:47
425     15:04:47
425     15:04:47
426     15:04:47
427     15:04:47
428     15:04:47
428     15:04:47
432     15:04:47
433     15:04:47
433     15:04:47
433     15:04:47
436     15:04:47
437     15:04:47
436     15:04:47
435     15:04:47
436     15:04:47
437     15:04:47
435     15:04:47
435     15:04:47
436     15:04:47
435     15:04:47
435     15:04:47
435     15:04:47
434     15:04:47
436     15:04:47
433     15:04:47
431     15:04:47
432     15:04:47
430     15:04:47
428     15:04:47
426     15:04:47
428     15:04:47
440     15:04:47
428     15:04:47
427     15:04:47
427     15:04:47
426     15:04:47
426     15:04:47
426     15:04:47
427     15:04:47
424     15:04:47
428     15:04:47
428     15:04:47
434     15:04:47
433     15:04:47
432     15:04:47
433     15:04:47
435     15:04:47
436     15:04:47
433     15:04:47
432     15:04:47
433     15:04:47
432     15:04:47
428     15:04:47
435     15:04:47
428     15:04:47
429     15:04:47
427     15:04:47
427     15:04:47
430     15:04:47
431     15:04:47
431     15:04:47
432     15:04:47
434     15:04:47
437     15:04:47
435     15:04:47
435     15:04:47
437     15:04:47
437     15:04:47
435     15:04:47
430     15:04:47
436     15:04:47
436     15:04:47
437     15:04:47
434     15:04:47
433     15:04:47
436     15:04:47
436     15:04:47
438     15:04:47
436     15:04:47
436     15:04:47
435     15:04:47
434     15:04:47
436     15:04:47
435     15:04:48
433     15:04:48
435     15:04:48
436     15:04:48
436     15:04:48
433     15:04:48
434     15:04:48
433     15:04:48
436     15:04:48
435     15:04:48
432     15:04:48
435     15:04:48
437     15:04:48
435     15:04:48
435     15:04:48
435     15:04:48
437     15:04:48
435     15:04:48
432     15:04:48
434     15:04:48
437     15:04:48
436     15:04:48
434     15:04:48
434     15:04:48
438     15:04:48
435     15:04:48
433     15:04:48
433     15:04:48
432     15:04:48
431     15:04:48
428     15:04:48
430     15:04:48
432     15:04:48
430     15:04:48
430     15:04:48
431     15:04:48
431     15:04:48
433     15:04:48
433     15:04:48
436     15:04:48
436     15:04:48
436     15:04:48
435     15:04:48
436     15:04:48
436     15:04:48
435     15:04:48
436     15:04:48
435     15:04:48
436     15:04:48
435     15:04:48
433     15:04:48
449     15:04:48
436     15:04:48
435     15:04:48
434     15:04:48
434     15:04:48
435     15:04:48
433     15:04:48
431     15:04:48
432     15:04:48
432     15:04:48
428     15:04:48
428     15:04:48
427     15:04:48
428     15:04:48
427     15:04:48
426     15:04:48
424     15:04:48
427     15:04:48
427     15:04:48
425     15:04:48
427     15:04:48
428     15:04:48
432     15:04:48
431     15:04:48
433     15:04:48
435     15:04:48
434     15:04:48
435     15:04:48
435     15:04:48
432     15:04:48
435     15:04:48
433     15:04:48
433     15:04:48
433     15:04:48
430     15:04:48
430     15:04:48
429     15:04:48
429     15:04:48
433     15:04:48
429     15:04:48
431     15:04:48
434     15:04:48
434     15:04:48
433     15:04:48
435     15:04:48
436     15:04:48
436     15:04:48
437     15:04:48
435     15:04:48
436     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
436     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
436     15:04:49
435     15:04:49
433     15:04:49
436     15:04:49
434     15:04:49
434     15:04:49
430     15:04:49
429     15:04:49
430     15:04:49
429     15:04:49
428     15:04:49
428     15:04:49
430     15:04:49
432     15:04:49
429     15:04:49
434     15:04:49
435     15:04:49
435     15:04:49
435     15:04:49
438     15:04:49
435     15:04:49
434     15:04:49
433     15:04:49
431     15:04:49
435     15:04:49
429     15:04:49
427     15:04:49
427     15:04:49
429     15:04:49
428     15:04:49
428     15:04:49
429     15:04:49
431     15:04:49
432     15:04:49
433     15:04:49
433     15:04:49
434     15:04:49
436     15:04:49
436     15:04:49
435     15:04:49
436     15:04:49
436     15:04:49
435     15:04:49
435     15:04:49
436     15:04:49
436     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
436     15:04:49
435     15:04:49
433     15:04:49
435     15:04:49
436     15:04:49
435     15:04:49
434     15:04:49
436     15:04:49
436     15:04:49
435     15:04:49
434     15:04:49
434     15:04:49
436     15:04:49
435     15:04:49
431     15:04:49
437     15:04:49
436     15:04:49
433     15:04:49
432     15:04:49
435     15:04:49
437     15:04:49
435     15:04:49
436     15:04:49
435     15:04:49
434     15:04:49
435     15:04:49
434     15:04:49
435     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
436     15:04:49
435     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
435     15:04:49
436     15:04:49
433     15:04:49
436     15:04:49
436     15:04:49
434     15:04:49
435     15:04:49
436     15:04:50
436     15:04:50
435     15:04:50
433     15:04:50
434     15:04:50
436     15:04:50
433     15:04:50
433     15:04:50
433     15:04:50
436     15:04:50
430     15:04:50
428     15:04:50
426     15:04:50
428     15:04:50
426     15:04:50
425     15:04:50
428     15:04:50
422     15:04:50
430     15:04:50
429     15:04:50
432     15:04:50
432     15:04:50
432     15:04:50
431     15:04:50
431     15:04:50
431     15:04:50
428     15:04:50
428     15:04:50
428     15:04:50
429     15:04:50
427     15:04:50
426     15:04:50
430     15:04:50
433     15:04:50
433     15:04:50
432     15:04:50
434     15:04:50
436     15:04:50
435     15:04:50
435     15:04:50
435     15:04:50
438     15:04:50
436     15:04:50
435     15:04:50
432     15:04:50
436     15:04:50
435     15:04:50
434     15:04:50
434     15:04:50
436     15:04:50
435     15:04:50
434     15:04:50
434     15:04:50
436     15:04:50
437     15:04:50
436     15:04:50
435     15:04:50
436     15:04:50
435     15:04:50
434     15:04:50
434     15:04:50
435     15:04:50
434     15:04:50
436     15:04:50
434     15:04:50
435     15:04:50
435     15:04:50
434     15:04:50
435     15:04:50
435     15:04:50
436     15:04:50
434     15:04:50
436     15:04:50
434     15:04:50
437     15:04:50
433     15:04:50
435     15:04:50
429     15:04:50
436     15:04:50
434     15:04:50
435     15:04:50
437     15:04:50
435     15:04:50
435     15:04:50
433     15:04:50
435     15:04:50
434     15:04:50
432     15:04:50
436     15:04:50
436     15:04:50
439     15:04:50
433     15:04:50
435     15:04:50
435     15:04:50
435     15:04:50
434     15:04:50
