units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.5931222999934107,1.5107297000067774
pix,0,0,1,[480.   0.],white,black,1.5281795999908354,3.010802800010424
pix,0,0,2,[-480.    0.],white,black,3.028204900008859,4.511191099998541
pix,0,0,3,[  0. 270.],white,black,4.527834800013807,6.010762699996121
pix,0,0,4,[   0. -270.],white,black,6.028031499998178,7.510985700006131
pix,0,1,0,[0. 0.],black,white,7.5280074999900535,9.010726000007708
pix,0,1,1,[480.   0.],black,white,9.028207900002599,10.510812399996212
pix,0,1,2,[-480.    0.],black,white,10.528082200005883,12.01073360000737
pix,0,1,3,[  0. 270.],black,white,12.028209200012498,13.5107699999935
pix,0,1,4,[   0. -270.],black,white,13.528070300002582,15.010680000006687
pix,1,0,0,[0. 0.],white,black,15.028169099998195,16.510652600001777
pix,1,0,1,[480.   0.],white,black,16.527981699997326,18.011115600005724
pix,1,0,2,[-480.    0.],white,black,18.028252999996766,19.510651699994924
pix,1,0,3,[  0. 270.],white,black,19.52831480000168,21.01076470001135
pix,1,0,4,[   0. -270.],white,black,21.028243700013263,22.51090339999064
pix,1,1,0,[0. 0.],black,white,22.528112500003772,24.01068840001244
pix,1,1,1,[480.   0.],black,white,24.028122699994128,25.510746899992228
pix,1,1,2,[-480.    0.],black,white,25.527773200010415,27.010739199991804
pix,1,1,3,[  0. 270.],black,white,27.028121799987275,28.510753700014902
pix,1,1,4,[   0. -270.],black,white,28.52754599999753,30.010713099996792
