units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,8.705848600016907,8.70591859985143
pix,0,0,1,[400.   0.],white,black,8.72212479985319,8.722161100013182
pix,0,0,2,[-400.    0.],white,black,8.738748299889266,8.738784400047734
pix,0,0,3,[  0. 300.],white,black,8.755614599911496,8.755657800007612
pix,0,0,4,[   0. -300.],white,black,8.772576999850571,8.772631200030446
pix,0,1,0,[0. 0.],black,white,8.78910359996371,8.789145000046119
pix,0,1,1,[400.   0.],black,white,8.805952799972147,8.80599349993281
pix,0,1,2,[-400.    0.],black,white,8.82245310000144,8.822494399966672
pix,0,1,3,[  0. 300.],black,white,8.83930049999617,8.839342099847272
pix,0,1,4,[   0. -300.],black,white,8.856102199992165,8.856144499965012
pix,1,0,0,[0. 0.],white,black,8.87272570002824,8.872825299855322
pix,1,0,1,[400.   0.],white,black,8.889333799947053,8.889375099912286
pix,1,0,2,[-400.    0.],white,black,8.906142999883741,8.906185199972242
pix,1,0,3,[  0. 300.],white,black,8.922437499975786,8.922479699831456
pix,1,0,4,[   0. -300.],white,black,8.939486199989915,8.93952799984254
pix,1,1,0,[0. 0.],black,white,8.95593799999915,8.955980299971998
pix,1,1,1,[400.   0.],black,white,8.972474599955603,8.972543499898165
pix,1,1,2,[-400.    0.],black,white,8.989437199896201,9.005800999933854
pix,1,1,3,[  0. 300.],black,white,9.022439799970016,9.50608849991113
pix,1,1,4,[   0. -300.],black,white,9.522507099900395,10.005859799915925
units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.2270556999137625,2.007955899927765
pix,0,0,1,[400.   0.],white,black,2.0568751000100747,4.0081864999374375
pix,0,0,2,[-400.    0.],white,black,4.024913899949752,6.006679499987513
pix,0,0,3,[  0. 300.],white,black,6.072230299934745,8.004191600019112
pix,0,0,4,[   0. -300.],white,black,8.02151629992295,10.003185599925928
pix,0,1,0,[0. 0.],black,white,10.053247899981216,12.00221629999578
pix,0,1,1,[400.   0.],black,white,12.01924189995043,14.001253499998711
pix,0,1,2,[-400.    0.],black,white,14.052095099934377,16.00052759994287
pix,0,1,3,[  0. 300.],black,white,16.0163008000236,18.000397499999963
pix,0,1,4,[   0. -300.],black,white,18.048203799990006,20.01363289996516
pix,1,0,0,[0. 0.],white,black,20.080378799932078,22.013850899995305
pix,1,0,1,[400.   0.],white,black,22.046635199920274,24.01176459994167
pix,1,0,2,[-400.    0.],white,black,24.028663499979302,26.011813499964774
pix,1,0,3,[  0. 300.],white,black,26.10023400001228,28.00971849996131
pix,1,0,4,[   0. -300.],white,black,28.026989999925718,30.00925120001193
pix,1,1,0,[0. 0.],black,white,30.05972399993334,32.008387699956074
pix,1,1,1,[400.   0.],black,white,32.042468399973586,34.00734769995324
pix,1,1,2,[-400.    0.],black,white,34.04114430001937,36.00554980000015
pix,1,1,3,[  0. 300.],black,white,36.04041909996886,38.00386970001273
pix,1,1,4,[   0. -300.],black,white,38.020877399947494,40.002503699972294
units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.010817200061865151,1.512296500033699
pix,0,0,1,[400.   0.],white,black,1.5615992000093684,3.0138448000652716
pix,0,0,2,[-400.    0.],white,black,3.0464122999692336,4.515149799990468
pix,0,0,3,[  0. 300.],white,black,4.5480518999975175,6.01667769998312
pix,0,0,4,[   0. -300.],white,black,6.033821500022896,7.501480599981733
pix,0,1,0,[0. 0.],black,white,7.518415200058371,9.002991599962115
pix,0,1,1,[400.   0.],black,white,9.01945510006044,10.504459999967366
pix,0,1,2,[-400.    0.],black,white,10.553856100072153,12.005718700005673
pix,0,1,3,[  0. 300.],black,white,12.038654300034977,13.507382599986158
pix,0,1,4,[   0. -300.],black,white,13.590097000007518,15.008692200062796
pix,1,0,0,[0. 0.],white,black,15.025777900009416,16.510087699978612
pix,1,0,1,[400.   0.],white,black,16.527043399983086,18.011490400065668
pix,1,0,2,[-400.    0.],white,black,18.02863299997989,19.51344250002876
pix,1,0,3,[  0. 300.],white,black,19.562654600013047,21.014385699993
pix,1,0,4,[   0. -300.],white,black,21.064257799996994,22.51628800004255
pix,1,1,0,[0. 0.],black,white,22.54938740003854,24.00106609996874
pix,1,1,1,[400.   0.],black,white,24.01805090007838,25.502516900072806
pix,1,1,2,[-400.    0.],black,white,25.519135000067763,27.003795800032094
pix,1,1,3,[  0. 300.],black,white,27.07038619997911,28.505652299965732
pix,1,1,4,[   0. -300.],black,white,28.52214220003225,30.006929300026968
units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.562720000045374,1.5110478000715375
pix,0,0,1,[480.   0.],white,black,1.5276834000833333,3.010685000102967
pix,0,0,2,[-480.    0.],white,black,3.027677700156346,4.51074880012311
pix,0,0,3,[  0. 270.],white,black,4.5273350002244115,6.010729500092566
pix,0,0,4,[   0. -270.],white,black,6.027426600223407,7.510368800023571
pix,0,1,0,[0. 0.],black,white,7.52728550019674,9.01072460017167
pix,0,1,1,[480.   0.],black,white,9.027259000111371,10.510812300024554
pix,0,1,2,[-480.    0.],black,white,10.527200700016692,12.010790900094435
pix,0,1,3,[  0. 270.],black,white,12.027521000010893,13.510203100042418
pix,0,1,4,[   0. -270.],black,white,13.527520700125024,15.010526400059462
pix,1,0,0,[0. 0.],white,black,15.027475100010633,16.510501600103453
pix,1,0,1,[480.   0.],white,black,16.52745630010031,18.010869500227273
pix,1,0,2,[-480.    0.],white,black,18.027477100025862,19.51036690012552
pix,1,0,3,[  0. 270.],white,black,19.52754080016166,21.010833400068805
pix,1,0,4,[   0. -270.],white,black,21.027505400124937,22.51046960009262
pix,1,1,0,[0. 0.],black,white,22.527897900203243,24.010341100161895
pix,1,1,1,[480.   0.],black,white,24.027202600147575,25.510643600020558
pix,1,1,2,[-480.    0.],black,white,25.52746790018864,27.010625900002196
pix,1,1,3,[  0. 270.],black,white,27.02739330008626,28.51047970005311
pix,1,1,4,[   0. -270.],black,white,28.52712500002235,30.010416000150144
