units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
norm,0,0,0,[0. 0.],white,black,0.6309466999955475,1.5155282000778243
norm,0,0,1,[0.5 0. ],white,black,1.532018700032495,3.0155234000412747
norm,0,0,2,[-0.5  0. ],white,black,3.032497000065632,4.51522390008904
norm,0,0,3,[0.  0.5],white,black,4.5319316000677645,6.015201300033368
norm,0,0,4,[ 0.  -0.5],white,black,6.032034900039434,7.515232100035064
norm,0,0,5,[0. 0.],white,black,7.531821500044316,9.015240600099787
norm,0,1,0,[0. 0.],black,white,9.03185430006124,10.515213200007565
norm,0,1,1,[0.5 0. ],black,white,10.531986500020139,12.015263400040567
norm,0,1,2,[-0.5  0. ],black,white,12.031958500039764,13.515272799995728
norm,0,1,3,[0.  0.5],black,white,13.531847500009462,15.015141800045967
norm,0,1,4,[ 0.  -0.5],black,white,15.032299500075169,16.515423500095494
norm,0,1,5,[0. 0.],black,white,16.532487300108187,18.015282100066543
norm,1,0,0,[0. 0.],white,black,18.03228990000207,19.515411200001836
norm,1,0,1,[0.5 0. ],white,black,19.53236970002763,21.01532500004396
norm,1,0,2,[-0.5  0. ],white,black,21.032405200065114,22.515374000067823
norm,1,0,3,[0.  0.5],white,black,22.532254100078717,24.01540290005505
norm,1,0,4,[ 0.  -0.5],white,black,24.031436300021596,25.515379399992526
norm,1,0,5,[0. 0.],white,black,25.531439600046724,27.015301400097087
norm,1,1,0,[0. 0.],black,white,27.03177300002426,28.515383600024506
norm,1,1,1,[0.5 0. ],black,white,28.531701100058854,30.015178800094873
norm,1,1,2,[-0.5  0. ],black,white,30.031351300072856,31.51528920000419
norm,1,1,3,[0.  0.5],black,white,31.53159330005292,33.01525370008312
norm,1,1,4,[ 0.  -0.5],black,white,33.031645300099626,34.515343800070696
norm,1,1,5,[0. 0.],black,white,34.531581000075676,36.01471060002223
