units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
norm,0,0,0,[0. 0.],white,black,0.07706689997576177,1.5120423999615014
norm,0,0,1,[0.5 0. ],white,black,1.5284833000041544,3.0119317000498995
norm,0,0,2,[-0.5  0. ],white,black,3.0287449000170454,4.512187800020911
norm,0,0,3,[0.  0.5],white,black,4.528425700031221,6.012121999985538
norm,0,0,4,[ 0.  -0.5],white,black,6.027893500053324,7.512034600018524
norm,0,0,5,[0. 0.],white,black,7.528137500048615,9.012036700034514
norm,0,1,0,[0. 0.],black,white,9.028361500008032,10.511331700021401
norm,0,1,1,[0.5 0. ],black,white,10.527944499976002,12.011614499962889
norm,0,1,2,[-0.5  0. ],black,white,12.028342299978249,13.5118696000427
norm,0,1,3,[0.  0.5],black,white,13.52832539996598,15.011985199991614
norm,0,1,4,[ 0.  -0.5],black,white,15.027966000023298,16.51155239995569
norm,0,1,5,[0. 0.],black,white,16.5283550999593,18.011967199970968
norm,1,0,0,[0. 0.],white,black,18.02823139994871,19.511866600019857
norm,1,0,1,[0.5 0. ],white,black,19.52828580001369,21.011799599975348
norm,1,0,2,[-0.5  0. ],white,black,21.028662899974734,22.51125109998975
norm,1,0,3,[0.  0.5],white,black,22.52843009994831,24.01193250005599
norm,1,0,4,[ 0.  -0.5],white,black,24.028365100035444,25.51171690004412
norm,1,0,5,[0. 0.],white,black,25.528230200055987,27.01181249995716
norm,1,1,0,[0. 0.],black,white,27.028295299969614,28.511312099988572
norm,1,1,1,[0.5 0. ],black,white,28.52836620004382,30.010795600013807
norm,1,1,2,[-0.5  0. ],black,white,30.028873199946247,31.51128840004094
norm,1,1,3,[0.  0.5],black,white,31.52883640001528,33.011260500061326
norm,1,1,4,[ 0.  -0.5],black,white,33.02809899998829,34.51143359998241
norm,1,1,5,[0. 0.],black,white,34.52817489998415,36.01124969997909
