units,block,subblock,trial,dotloc,dotcol,screencol,timestart,timeend
pix,0,0,0,[0. 0.],white,black,0.7146566,2.0143633
pix,0,0,1,[400.   0.],white,black,2.03117,4.0148036
pix,0,0,2,[-400.    0.],white,black,4.0313707,6.014885
pix,0,0,3,[  0. 300.],white,black,6.0313899,8.0145942
pix,0,0,4,[   0. -300.],white,black,8.0310514,10.0141392
pix,0,1,0,[0. 0.],black,white,10.0314857,12.0144906
pix,0,1,1,[400.   0.],black,white,12.0310795,14.0140834
pix,0,1,2,[-400.    0.],black,white,14.0311151,16.0140882
pix,0,1,3,[  0. 300.],black,white,16.0310195,18.0158082
pix,0,1,4,[   0. -300.],black,white,18.0319009,20.0140912
pix,1,0,0,[0. 0.],white,black,20.0310472,22.0145789
pix,1,0,1,[400.   0.],white,black,22.0312795,24.0145978
pix,1,0,2,[-400.    0.],white,black,24.0312667,26.0141976
pix,1,0,3,[  0. 300.],white,black,26.0312305,28.0141415
pix,1,0,4,[   0. -300.],white,black,28.0312249,30.0148924
pix,1,1,0,[0. 0.],black,white,30.0317392,32.0141199
pix,1,1,1,[400.   0.],black,white,32.0313085,34.0141708
pix,1,1,2,[-400.    0.],black,white,34.0309369,36.0144505
pix,1,1,3,[  0. 300.],black,white,36.0309268,38.014335
pix,1,1,4,[   0. -300.],black,white,38.0312378,40.0143167
