true__action_noise,true__xprob_volatility,estimated__action_noise,estimated__xprob_volatility,prior_idx,input_sequence_idx,simulation_idx
0.1,-10,0.09156324166099254,-7.4527191977912155,1,1,1
0.1,-9,0.10057817831122418,-7.379516784521115,1,1,1
0.1,-8,0.10671852578885191,-7.0278030911194795,1,1,1
0.1,-7,0.029155179215819498,-5.169170420232694,1,1,1
0.1,-6,0.14242275055527193,-6.816183451645445,1,1,1
0.1,-5,0.12172049102722154,-5.0834282931157695,1,1,1
0.1,-4,0.09660260403494263,-4.323318830436915,1,1,1
0.1,-3,0.1591818024081,-3.0283495351260816,1,1,1
0.1,-2,0.17316910436371025,-1.9634112883086483,1,1,1
0.4,-10,0.42385368677601437,-7.165748105679425,1,1,1
0.4,-9,0.4697502684822018,-7.537716957603077,1,1,1
0.4,-8,0.39060997549772347,-6.388714808455047,1,1,1
0.4,-7,0.36612405228921197,-6.2006066952233105,1,1,1
0.4,-6,0.4761933701294238,-5.873164467525829,1,1,1
0.4,-5,0.4579353958550675,-4.466644030778514,1,1,1
0.4,-4,0.38991633435967754,-3.9504908494127866,1,1,1
0.4,-3,0.3735244526692826,-2.9185771459488423,1,1,1
0.4,-2,0.37433615306188317,-2.016812826106726,1,1,1
0.7,-10,0.8752718287929907,-6.508250288148998,1,1,1
0.7,-9,1.131767998829448,-7.411352968231887,1,1,1
0.7,-8,0.5702715250563661,-6.372540996580701,1,1,1
0.7,-7,0.6060690516758898,-6.377273083340517,1,1,1
0.7,-6,0.6585784107704808,-5.749132375376432,1,1,1
0.7,-5,0.6105732033294657,-5.1102093763987675,1,1,1
0.7,-4,0.5420037640822126,-4.21629177380807,1,1,1
0.7,-3,0.6441289830416159,-2.7908263074317605,1,1,1
0.7,-2,0.507320281075659,-2.60675200095618,1,1,1
1.0,-10,0.9061109196366266,-5.728293366838318,1,1,1
1.0,-9,1.0832960129267086,-6.551688614994838,1,1,1
1.0,-8,1.2721871710086168,-6.097084463259026,1,1,1
1.0,-7,1.0570416411774795,-6.223650532874386,1,1,1
1.0,-6,1.1211755567237915,-5.191749734868571,1,1,1
1.0,-5,1.2597530033700914,-3.185564346138108,1,1,1
1.0,-4,1.2784938841093294,-4.278390703305308,1,1,1
1.0,-3,1.0614348330836683,-3.3518402178686193,1,1,1
1.0,-2,0.7559638510700837,-2.476652396023177,1,1,1
1.3,-10,1.2528912976606392,-4.982059287804587,1,1,1
1.3,-9,1.720820642874495,-7.616957329771164,1,1,1
1.3,-8,2.0197081143700153,-6.1059359658696355,1,1,1
