true__action_noise,true__xprob_volatility,estimated__action_noise,estimated__xprob_volatility,prior_idx,input_sequence_idx,simulation_idx
0.1,-10,0.0343573681781721,-6.95459866605694,1,1,1
0.1,-9,0.11935767213686735,-7.257555627739876,1,1,1
0.1,-8,0.032133267439341175,-6.7851670914767235,1,1,1
0.1,-7,0.06346174576084851,-7.356007017266684,1,1,1
0.1,-6,0.19833953097737272,-7.148324199357019,1,1,1
0.1,-5,0.0590676767210538,-5.646214596436369,1,1,1
0.1,-4,0.11237885467860227,-3.895865684573458,1,1,1
0.1,-3,0.1554656066406902,-2.929867795729124,1,1,1
0.1,-2,0.09693543935435861,-1.9557050994865026,1,1,1
0.4,-10,0.4149771178437228,-7.741888631664531,1,1,1
0.4,-9,0.36710974247905837,-6.17565171485182,1,1,1
0.4,-8,0.33416022273816803,-6.703467107212408,1,1,1
0.4,-7,0.2352019752066736,-6.853112638866776,1,1,1
0.4,-6,0.3324450147138158,-6.566421058806182,1,1,1
0.4,-5,0.30027676291631245,-5.116175065498801,1,1,1
0.4,-4,0.4477955691234011,-4.754495392405444,1,1,1
0.4,-3,0.4611984040380899,-3.068886111607484,1,1,1
0.4,-2,0.5141560822548904,-2.0341237480704475,1,1,1
0.7,-10,0.772055971142025,-6.952983550081389,1,1,1
0.7,-9,0.7297992277343313,-6.781481017885893,1,1,1
0.7,-8,0.7775505752780424,-6.1783094009448325,1,1,1
0.7,-7,0.4610826237717763,-7.221932517189048,1,1,1
0.7,-6,0.5507208809741725,-5.29580824112733,1,1,1
0.7,-5,0.6790947094652093,-4.996595428553415,1,1,1
0.7,-4,0.5560886580450279,-3.7665540189787716,1,1,1
0.7,-3,0.7218855451046973,-3.337271928955766,1,1,1
0.7,-2,0.8008619296880228,-1.9707552241363753,1,1,1
1.0,-10,1.2242478011620732,-5.8675101535925585,1,1,1
1.0,-9,1.104017118995197,-7.1211000626118555,1,1,1
1.0,-8,1.0607898708463384,-6.854763686543572,1,1,1
1.0,-7,1.3811863656997474,-5.778079333025321,1,1,1
1.0,-6,1.178394256646476,-5.883484823297844,1,1,1
1.0,-5,1.2908746527331536,-5.043535810944512,1,1,1
1.0,-4,0.728884872192143,-6.0760526191026365,1,1,1
1.0,-3,0.9477653330511403,-3.7888375650319475,1,1,1
1.0,-2,1.010896768525895,-2.4436531305175686,1,1,1
1.3,-10,1.2689025366732571,-6.4774148785393475,1,1,1
1.3,-9,1.3711760165369689,-5.970929243664804,1,1,1
1.3,-8,1.2799435713180465,-7.055511076215619,1,1,1
1.3,-7,1.6381896958073712,-7.059052112651319,1,1,1
1.3,-6,1.8862910288092225,-7.030720244628283,1,1,1
1.3,-5,1.3419254526750728,-5.679851777614795,1,1,1
1.3,-4,1.3069333588033745,-4.087630861286559,1,1,1
1.3,-3,1.2651261111537195,-3.02478409659898,1,1,1
1.3,-2,1.206826449467464,-2.194183701572432,1,1,1
1.6,-10,1.5290959822137733,-6.525715348569397,1,1,1
1.6,-9,1.644763327102715,-6.646083826053125,1,1,1
1.6,-8,1.4303109800724116,-5.562946419964909,1,1,1
1.6,-7,2.4436972979549014,-6.085265858254027,1,1,1
1.6,-6,1.1027134053994034,-6.840516945305335,1,1,1
1.6,-5,1.4131681118689112,-6.21543354749628,1,1,1
1.6,-4,1.2910146872454409,-4.7006416799771635,1,1,1
1.6,-3,1.183504515406955,-2.691640174130765,1,1,1
1.6,-2,1.257294858625324,-2.3099866499898463,1,1,1
1.9,-10,2.203455988512951,-6.687794347958972,1,1,1
1.9,-9,1.5531452377240273,-6.585780634055077,1,1,1
1.9,-8,1.9484246497314448,-6.118528595007543,1,1,1
1.9,-7,2.1148735824163385,-5.225692955451416,1,1,1
1.9,-6,1.4433514133299234,-5.753961250867494,1,1,1
1.9,-5,2.0987281313064097,-3.703147181523904,1,1,1
1.9,-4,1.5429055247561476,-4.974647868263793,1,1,1
1.9,-3,1.4685683997323897,-6.5511760664128,1,1,1
1.9,-2,1.7276328664084817,-1.7102030899974099,1,1,1
2.2,-10,2.0685442484923477,-6.133233461994001,1,1,1
2.2,-9,1.9375942009169556,-6.692701238750381,1,1,1
2.2,-8,1.236561388913632,-5.410764663597826,1,1,1
2.2,-7,1.6980555692729973,-6.784585627308274,1,1,1
2.2,-6,1.3474317847322403,-6.2263833495578345,1,1,1
2.2,-5,1.9352949510564796,-6.291884011961065,1,1,1
2.2,-4,1.9813938689558261,-4.591865153467643,1,1,1
2.2,-3,2.002199183278128,-1.727296025164279,1,1,1
2.2,-2,2.1684388198472675,-4.418337863896084,1,1,1
2.5,-10,1.9619045203856982,-6.381954714276169,1,1,1
2.5,-9,1.614639274922937,-4.576792763214325,1,1,1
2.5,-8,1.9489764924305675,-5.882514025130444,1,1,1
2.5,-7,2.139236313529331,-6.570152642387594,1,1,1
2.5,-6,1.7366528644903343,-6.640562191679333,1,1,1
2.5,-5,2.232493348879901,-3.6946485398857063,1,1,1
2.5,-4,1.7080440088710498,-6.046269892146745,1,1,1
2.5,-3,1.7677131239186954,-3.872153074551446,1,1,1
2.5,-2,1.9395959776858422,-1.7759999860797233,1,1,1
0.1,-10,0.03739150986472906,-6.865355944997759,1,1,2
0.1,-9,0.06501951996207875,-7.568024415348604,1,1,2
0.1,-8,0.07208075516965531,-7.587155792710833,1,1,2
0.1,-7,0.12576910155890084,-6.491841395872239,1,1,2
0.1,-6,0.08483754462527165,-5.7224601930135055,1,1,2
0.1,-5,0.09300190073310412,-5.017561508657839,1,1,2
0.1,-4,0.1249568904648174,-4.326116378274891,1,1,2
0.1,-3,0.04003983668907757,-3.232473410421235,1,1,2
0.1,-2,0.14225621837523883,-2.033972541329603,1,1,2
0.4,-10,0.41034112126084643,-6.299552928344172,1,1,2
0.4,-9,0.5207468011995573,-6.938693200563909,1,1,2
0.4,-8,0.4093519062135499,-6.493492762412224,1,1,2
0.4,-7,0.5177847268954516,-6.6939984422173495,1,1,2
0.4,-6,0.5333591894574664,-7.204614666985024,1,1,2
0.4,-5,0.22848659004292643,-4.7320266740884325,1,1,2
0.4,-4,0.32799387708964484,-3.8768978135707792,1,1,2
0.4,-3,0.44521431108210585,-2.9910069556359202,1,1,2
0.4,-2,0.40367378832479744,-1.8422589935023899,1,1,2
0.7,-10,0.5803863850082722,-6.496884509871893,1,1,2
0.7,-9,0.9014925523494398,-6.977709939089722,1,1,2
0.7,-8,0.8711541545950384,-7.009935386077857,1,1,2
0.7,-7,0.7186369540296513,-5.070997986532584,1,1,2
0.7,-6,0.8015534918790461,-6.714322891220741,1,1,2
0.7,-5,0.7869646396074652,-4.674126039225488,1,1,2
0.7,-4,0.6321213816639362,-2.931063569445733,1,1,2
0.7,-3,0.7431841497275855,-3.505629209273193,1,1,2
0.7,-2,0.6582392249900537,-2.0835733426628154,1,1,2
1.0,-10,1.1778036668357172,-6.238842545022591,1,1,2
1.0,-9,1.0664307107866926,-6.609049973938773,1,1,2
1.0,-8,0.9427133306543457,-6.2590742284697125,1,1,2
1.0,-7,1.002996313697445,-6.0570598258339405,1,1,2
1.0,-6,1.0361213182405007,-5.944117544012928,1,1,2
1.0,-5,1.1303181741486887,-5.870162040094282,1,1,2
1.0,-4,1.015445118037191,-4.038162531118784,1,1,2
1.0,-3,0.9676859998126875,-3.108624180383332,1,1,2
1.0,-2,0.5658765370989605,-1.9117986228761348,1,1,2
1.3,-10,1.633134603512782,-5.683602727769534,1,1,2
1.3,-9,0.9364286174641558,-6.188730911304267,1,1,2
1.3,-8,1.4980580644824393,-5.308907739739336,1,1,2
1.3,-7,0.9385323483458419,-7.24804124993636,1,1,2
1.3,-6,1.6751767536659559,-6.410481736086455,1,1,2
1.3,-5,0.9854652058111599,-3.6209997772331493,1,1,2
1.3,-4,1.4491145541085988,-4.908763188702885,1,1,2
1.3,-3,1.8067123984751114,-5.095376433148978,1,1,2
1.3,-2,1.048917100543498,-2.0747463238815227,1,1,2
1.6,-10,1.5480145208087772,-6.498445251300788,1,1,2
1.6,-9,1.217339616986242,-7.020652562128218,1,1,2
1.6,-8,1.8481523286860484,-5.158525710202445,1,1,2
1.6,-7,1.5381367377219912,-3.8748711223649472,1,1,2
1.6,-6,1.885384561439888,-5.176584331921663,1,1,2
1.6,-5,1.621346031156994,-4.942933209756191,1,1,2
1.6,-4,1.3565988780623202,-5.944787469761721,1,1,2
1.6,-3,1.2945012784759165,-6.715409012822143,1,1,2
1.6,-2,1.504765146593492,-2.443399974633902,1,1,2
1.9,-10,1.538329824653994,-6.540731361271231,1,1,2
1.9,-9,1.3999187402055195,-6.852709000624752,1,1,2
1.9,-8,1.2825156265413735,-6.420741377329276,1,1,2
1.9,-7,2.343694692734105,-4.695425031959948,1,1,2
1.9,-6,1.8549943869341148,-6.370257073167201,1,1,2
1.9,-5,2.262893578215903,-6.052043322168454,1,1,2
1.9,-4,1.6067102056751459,-5.006788146573374,1,1,2
1.9,-3,1.3126985292350715,-4.642585402049784,1,1,2
1.9,-2,1.9270579440379576,-1.7067116438420595,1,1,2
2.2,-10,2.109805048879336,-6.448626272393755,1,1,2
2.2,-9,1.3241879824088674,-6.688021512740027,1,1,2
2.2,-8,1.8021503852335286,-5.637064966359443,1,1,2
2.2,-7,2.1781711479545427,-6.320309077480134,1,1,2
2.2,-6,2.290843379761635,-5.419800723630412,1,1,2
2.2,-5,2.254973928374358,-4.269397434137762,1,1,2
2.2,-4,2.0439963705183812,-5.6771242828567345,1,1,2
2.2,-3,1.7540123062141955,-5.924347108145525,1,1,2
2.2,-2,1.861793338522376,-3.211759642178982,1,1,2
2.5,-10,1.7221861747386416,-5.746338332291582,1,1,2
2.5,-9,1.8740607810889722,-5.5682824616491615,1,1,2
2.5,-8,2.2999608287914306,-6.266865032264386,1,1,2
2.5,-7,1.393686627757468,-7.149906690457292,1,1,2
2.5,-6,1.297565275644161,-5.84359865843307,1,1,2
2.5,-5,1.771236523412599,-4.353935031101734,1,1,2
2.5,-4,1.1223339877926928,-5.55313806781448,1,1,2
2.5,-3,2.245339449173592,-5.621848035417735,1,1,2
2.5,-2,2.0065028798247884,-2.416153654440431,1,1,2
0.1,-10,0.10189955241516753,-7.234589238022251,1,1,3
0.1,-9,0.10960985635097009,-7.533702989008745,1,1,3
0.1,-8,0.14520312630069404,-7.4561957566758075,1,1,3
0.1,-7,0.0667115780045956,-7.6381851500020606,1,1,3
0.1,-6,0.10276112414973923,-7.323465929360594,1,1,3
0.1,-5,0.13483598062008795,-4.953304194807004,1,1,3
0.1,-4,0.14563564684582528,-3.831833702223008,1,1,3
0.1,-3,0.07565732985609645,-2.9976218968463564,1,1,3
0.1,-2,0.05913067626667737,-2.0043014108835266,1,1,3
0.4,-10,0.4145741633678486,-7.046768964664728,1,1,3
0.4,-9,0.3873519691684372,-7.957233621790605,1,1,3
0.4,-8,0.34326400893407893,-7.167096544470063,1,1,3
0.4,-7,0.40307777799021116,-7.16622701540205,1,1,3
0.4,-6,0.3284193383122239,-6.839910416450287,1,1,3
0.4,-5,0.2444673837350677,-5.207490271041822,1,1,3
0.4,-4,0.5607303293363899,-4.295126991446067,1,1,3
0.4,-3,0.36975022611503017,-2.800157117861584,1,1,3
0.4,-2,0.3971500919981554,-2.0899753766067533,1,1,3
0.7,-10,0.9277236377637877,-6.632470610514462,1,1,3
0.7,-9,0.8700665745147429,-6.027790227311014,1,1,3
0.7,-8,0.8181722657105868,-7.369183731967251,1,1,3
0.7,-7,0.6147762017670804,-6.256998563948689,1,1,3
0.7,-6,0.8613856664032546,-6.3033496257485835,1,1,3
0.7,-5,0.6820510715370474,-6.200593359619848,1,1,3
0.7,-4,0.45933892721925745,-4.606580419936357,1,1,3
0.7,-3,0.6525001433217359,-3.5187801345490017,1,1,3
0.7,-2,0.8832382762907482,-2.186030384585762,1,1,3
1.0,-10,1.0123677183791262,-6.701042973617897,1,1,3
1.0,-9,0.9148584359678043,-7.409697244473918,1,1,3
1.0,-8,1.3483555818974604,-5.6442971247865135,1,1,3
1.0,-7,0.9765986241616775,-5.879986014977829,1,1,3
1.0,-6,0.9544488346146137,-5.62946075178176,1,1,3
1.0,-5,1.3300087283896112,-5.275067987088584,1,1,3
1.0,-4,1.0313524577512683,-4.462048599036419,1,1,3
1.0,-3,1.0565509144870902,-3.597698668133103,1,1,3
1.0,-2,0.8335364408591022,-2.796968420258353,1,1,3
1.3,-10,1.2965565931015184,-6.0366822612732705,1,1,3
1.3,-9,1.2635873989330586,-5.578942597738048,1,1,3
1.3,-8,1.6030231453269046,-5.491036316228032,1,1,3
1.3,-7,1.7970779811275144,-5.276294470664737,1,1,3
1.3,-6,1.5174181632209658,-6.409118425746196,1,1,3
1.3,-5,2.008628802865946,-2.9114931686079357,1,1,3
1.3,-4,1.741069348481071,-5.675828005466883,1,1,3
1.3,-3,1.0781140639624207,-4.462514779452082,1,1,3
1.3,-2,0.9606432875848537,-3.635250797066191,1,1,3
1.6,-10,1.8560915405483098,-6.575378525613944,1,1,3
1.6,-9,1.5669770485768717,-5.825895761633532,1,1,3
1.6,-8,1.3565874033488141,-6.876264732855602,1,1,3
1.6,-7,1.7207452575289621,-7.090738970516126,1,1,3
1.6,-6,2.053350676679701,-6.77141629086784,1,1,3
1.6,-5,1.730044200748392,-6.116103165769383,1,1,3
1.6,-4,1.2639376640739068,-3.719545624820013,1,1,3
1.6,-3,1.3746919171777578,-5.912125183225518,1,1,3
1.6,-2,1.6234636572777497,-1.8574232485788578,1,1,3
1.9,-10,1.6473689404157241,-6.586920192721635,1,1,3
1.9,-9,2.2280420401024648,-5.086481137577146,1,1,3
1.9,-8,1.9263972931373636,-6.1647026474201105,1,1,3
1.9,-7,2.245508598875421,-4.682608717824497,1,1,3
1.9,-6,1.6840709259265505,-6.339085240307632,1,1,3
1.9,-5,1.2510151664585978,-6.876753935082402,1,1,3
1.9,-4,1.3298053290990532,-3.6638420060410404,1,1,3
1.9,-3,1.275433421581428,-3.7783305844730775,1,1,3
1.9,-2,1.171085253209537,-2.5514774828973588,1,1,3
2.2,-10,1.6098879689337755,-6.004739006214502,1,1,3
2.2,-9,2.1098565521678907,-3.221085040276596,1,1,3
2.2,-8,1.7639802594521654,-5.180967590738744,1,1,3
2.2,-7,2.5521907326589846,-6.257613967634779,1,1,3
2.2,-6,2.31639268813545,-5.931988828563954,1,1,3
2.2,-5,1.9470765110977342,-6.282419820878384,1,1,3
2.2,-4,1.523520142225212,-4.918197679549243,1,1,3
2.2,-3,1.771473923116465,-3.731024402270278,1,1,3
2.2,-2,2.0320378507731514,-3.8180287216635795,1,1,3
