true__action_noise,true__xprob_volatility,estimated__action_noise,estimated__xprob_volatility,prior_idx,input_sequence_idx,simulation_idx,Column1,Column2,,,
0.1,-10,0.091563242,-7.452719198,1,1,1,2.547280802,0.008436758,,seq1,804
0.1,-9,0.100578178,-7.379516785,1,1,1,1.620483215,0.000578178,,seq2,803
0.1,-8,0.106718526,-7.027803091,1,1,1,0.972196909,0.006718526,,,
0.1,-7,0.029155179,-5.16917042,1,1,1,1.83082958,0.070844821,,,
0.1,-6,0.142422751,-6.816183452,1,1,1,0.816183452,0.042422751,,,
0.1,-5,0.121720491,-5.083428293,1,1,1,0.083428293,0.021720491,,,
0.1,-4,0.096602604,-4.32331883,1,1,1,0.32331883,0.003397396,,,
0.1,-3,0.159181802,-3.028349535,1,1,1,0.028349535,0.059181802,,,
0.1,-2,0.173169104,-1.963411288,1,1,1,0.036588712,0.073169104,,,
0.4,-10,0.423853687,-7.165748106,1,1,1,2.834251894,0.023853687,,,
0.4,-9,0.469750268,-7.537716958,1,1,1,1.462283042,0.069750268,,,
0.4,-8,0.390609975,-6.388714808,1,1,1,1.611285192,0.009390025,,,
0.4,-7,0.366124052,-6.200606695,1,1,1,0.799393305,0.033875948,,,
0.4,-6,0.47619337,-5.873164468,1,1,1,0.126835532,0.07619337,,,
0.4,-5,0.457935396,-4.466644031,1,1,1,0.533355969,0.057935396,,,
0.4,-4,0.389916334,-3.950490849,1,1,1,0.049509151,0.010083666,,,
0.4,-3,0.373524453,-2.918577146,1,1,1,0.081422854,0.026475547,,,
0.4,-2,0.374336153,-2.016812826,1,1,1,0.016812826,0.025663847,,,
0.7,-10,0.875271829,-6.508250288,1,1,1,3.491749712,0.175271829,,,
0.7,-9,1.131767999,-7.411352968,1,1,1,1.588647032,0.431767999,,,
0.7,-8,0.570271525,-6.372540997,1,1,1,1.627459003,0.129728475,,,
0.7,-7,0.606069052,-6.377273083,1,1,1,0.622726917,0.093930948,,,
0.7,-6,0.658578411,-5.749132375,1,1,1,0.250867625,0.041421589,,,
0.7,-5,0.610573203,-5.110209376,1,1,1,0.110209376,0.089426797,,,
0.7,-4,0.542003764,-4.216291774,1,1,1,0.216291774,0.157996236,,,
0.7,-3,0.644128983,-2.790826307,1,1,1,0.209173693,0.055871017,,,
0.7,-2,0.507320281,-2.606752001,1,1,1,0.606752001,0.192679719,,,
1,-10,0.90611092,-5.728293367,1,1,1,4.271706633,0.09388908,,,
1,-9,1.083296013,-6.551688615,1,1,1,2.448311385,0.083296013,,,
1,-8,1.272187171,-6.097084463,1,1,1,1.902915537,0.272187171,,,
1,-7,1.057041641,-6.223650533,1,1,1,0.776349467,0.057041641,,,
1,-6,1.121175557,-5.191749735,1,1,1,0.808250265,0.121175557,,,
1,-5,1.259753003,-3.185564346,1,1,1,1.814435654,0.259753003,,,
1,-4,1.278493884,-4.278390703,1,1,1,0.278390703,0.278493884,,,
1,-3,1.061434833,-3.351840218,1,1,1,0.351840218,0.061434833,,,
1,-2,0.755963851,-2.476652396,1,1,1,0.476652396,0.244036149,,,
1.3,-10,1.252891298,-4.982059288,1,1,1,5.017940712,0.047108702,,,
1.3,-9,1.720820643,-7.61695733,1,1,1,1.38304267,0.420820643,,,
1.3,-8,2.019708114,-6.105935966,1,1,1,1.894064034,0.719708114,,,
1.3,-7,0.869678001,-5.91516092,1,1,1,1.08483908,0.430321999,,,
1.3,-6,1.325924828,-5.444397784,1,1,1,0.555602216,0.025924828,,,
1.3,-5,1.086045022,-5.544316324,1,1,1,0.544316324,0.213954978,,,
1.3,-4,0.82905317,-3.980317606,1,1,1,0.019682394,0.47094683,,,
1.3,-3,1.200235482,-4.133508886,1,1,1,1.133508886,0.099764518,,,
1.3,-2,0.973812954,-2.475261896,1,1,1,0.475261896,0.326187046,,,
1.6,-10,1.462856523,-6.304039894,1,1,1,3.695960106,0.137143477,,,
1.6,-9,1.879174288,-4.528875109,1,1,1,4.471124891,0.279174288,,,
1.6,-8,1.614514215,-7.306537721,1,1,1,0.693462279,0.014514215,,,
1.6,-7,1.215337336,-5.720756102,1,1,1,1.279243898,0.384662664,,,
1.6,-6,1.271048579,-6.713939654,1,1,1,0.713939654,0.328951421,,,
1.6,-5,1.45965613,-4.249758563,1,1,1,0.750241437,0.14034387,,,
1.6,-4,1.26226891,-4.737126601,1,1,1,0.737126601,0.33773109,,,
1.6,-3,1.246133175,-3.654905554,1,1,1,0.654905554,0.353866825,,,
1.6,-2,1.550400771,-2.938810718,1,1,1,0.938810718,0.049599229,,,
1.9,-10,1.48200262,-5.60378721,1,1,1,4.39621279,0.41799738,,,
1.9,-9,1.554819164,-6.855972813,1,1,1,2.144027187,0.345180836,,,
1.9,-8,2.214040327,-6.276632201,1,1,1,1.723367799,0.314040327,,,
1.9,-7,1.96362213,-6.2999524,1,1,1,0.7000476,0.06362213,,,
1.9,-6,1.837135883,-7.147114287,1,1,1,1.147114287,0.062864117,,,
1.9,-5,1.705005716,-4.975795639,1,1,1,0.024204361,0.194994284,,,
1.9,-4,1.193420909,-6.36085786,1,1,1,2.36085786,0.706579091,,,
1.9,-3,1.527572743,-4.386492413,1,1,1,1.386492413,0.372427257,,,
1.9,-2,1.319455426,-3.580479591,1,1,1,1.580479591,0.580544574,,,
2.2,-10,2.138764537,-6.441555592,1,1,1,3.558444408,0.061235463,,,
2.2,-9,2.02213475,-6.173651314,1,1,1,2.826348686,0.17786525,,,
2.2,-8,1.269361753,-6.418603392,1,1,1,1.581396608,0.930638247,,,
2.2,-7,1.253161464,-5.552388143,1,1,1,1.447611857,0.946838536,,,
2.2,-6,2.258165024,-6.017768589,1,1,1,0.017768589,0.058165024,,,
2.2,-5,2.025985788,-6.337070256,1,1,1,1.337070256,0.174014212,,,
2.2,-4,2.319972646,-5.390015166,1,1,1,1.390015166,0.119972646,,,
2.2,-3,1.309150831,-4.411951417,1,1,1,1.411951417,0.890849169,,,
2.2,-2,1.365415061,-4.644152968,1,1,1,2.644152968,0.834584939,,,
2.5,-10,1.879963584,-5.729289486,1,1,1,4.270710514,0.620036416,,,
2.5,-9,1.21415647,-6.878829109,1,1,1,2.121170891,1.28584353,,,
2.5,-8,1.328463227,-5.98524042,1,1,1,2.01475958,1.171536773,,,
2.5,-7,1.661416323,-6.047080062,1,1,1,0.952919938,0.838583677,,,
2.5,-6,2.042692371,-5.809008883,1,1,1,0.190991117,0.457307629,,,
2.5,-5,1.934397785,-5.444646751,1,1,1,0.444646751,0.565602215,,,
2.5,-4,1.741812652,-4.645810054,1,1,1,0.645810054,0.758187348,,,
2.5,-3,1.815034775,-5.104465293,1,1,1,2.104465293,0.684965225,,,
